Date,VOO,QQQ,SPY,VTI,VT,VXUS,SCHD,BND,TLT,GLD,IWM,XLK,XLF,XLV,VNQ
2019-01-01,381.96,350.5,413.31,210.35,94.53,54.92,75.42,73.83,95.55,179.9,197.19,161.77,38.67,135.91,89.37
2019-01-02,381.65,352.99,419.33,209.52,94.68,55.3,75.16,73.91,95.57,179.01,195.63,162.43,39.12,135.02,88.43
2019-01-03,384.16,346.25,419.68,207.65,94.78,55.63,74.86,73.99,95.58,180.06,196.24,162.17,39.56,133.79,88.91
2019-01-04,389.88,344.15,421.62,204.92,95.62,55.51,75.28,73.96,95.18,181.46,196.61,164.79,39.44,132.73,88.1
2019-01-07,389.2,347.8,425.59,206.3,96.47,55.63,75.75,74.11,95.38,181.39,198.54,167.26,39.08,135.13,89.15
2019-01-08,388.52,342.51,421.67,207.53,96.92,55.24,75.54,73.88,96.18,181.77,200.87,170.44,38.94,134.8,90.2
2019-01-09,394.51,343.98,423.74,208.76,96.65,55.6,74.59,74.03,95.67,178.6,202.7,167.92,38.22,134.07,89.87
2019-01-10,397.55,338.31,422.86,208.6,97.32,55.58,74.49,74.15,94.57,178.03,197.41,166.21,38.81,133.94,92.15
2019-01-11,395.98,340.5,426.42,211.48,97.27,55.46,74.9,74.25,95.08,179.53,200.45,168.9,38.7,133.63,93.34
2019-01-14,398.2,340.55,418.04,210.61,96.38,55.3,76.04,74.22,95.32,178.95,204.39,167.64,39.28,135.53,94.11
2019-01-15,396.65,333.82,417.83,212.61,96.07,55.28,75.32,74.65,94.52,177.92,203.23,164.22,38.75,134.38,94.84
2019-01-16,395.09,338.92,415.63,212.64,96.18,55.08,75.09,74.78,94.01,181.28,203.92,165.55,39.24,135.84,95.93
2019-01-17,396.18,335.98,417.51,211.51,96.98,55.41,74.88,74.56,93.4,184.02,201.71,164.41,39.03,136.04,94.87
2019-01-18,389.21,332.75,419.55,212.8,96.86,55.23,75.74,74.63,92.9,184.77,196.84,168.61,38.48,137.55,95.11
2019-01-21,383.05,333.79,416.93,213.72,95.86,56.03,75.75,74.81,92.68,186.54,195.08,169.42,39.2,139.53,95.56
2019-01-22,381.2,338.82,414.3,214.55,95.94,56.77,75.21,74.68,92.5,183.18,193.83,169.92,39.71,139.69,95.15
2019-01-23,377.73,334.68,414.05,214.81,96.07,56.33,75.59,74.95,92.05,182.04,193.04,169.17,39.82,139.37,95.69
2019-01-24,379.03,335.14,410.72,214.84,96.27,56.38,75.37,75.05,91.53,181.39,190.79,173.02,39.85,139.51,97.05
2019-01-25,375.96,337.15,414.17,219.79,97.08,56.08,74.64,74.5,91.38,181.08,189.1,174.0,40.06,139.45,96.62
